,dataset_name,io_pearsonr,group_id,predictor_key,pearsonr_mean,pearsonr_median,pearsonr_max,pearsonr_min
0,B_PC1by75_N300_21-03-20,-0.8825401516077677,grudiag11_b_2020-12-11,hidden_state,-0.7793818924842252,-0.7879601644527651,-0.6535227424090924,-0.8645057021208263
1,B_PC1by75_N300_21-03-20,-0.8825401516077677,grudiag11_b_2020-12-11,hidden_gates_tplus1,-0.7822334705352018,-0.7924048071110348,-0.6724188232374978,-0.8397986812135129
2,B_PC1by75_N300_21-03-20,-0.8825401516077677,grudiag11_b_2020-12-11,hidden_all,-0.7584725942760964,-0.7556583167206352,-0.7173663377124466,-0.8126420843229867
3,B_PC1by75_N300_21-03-20,-0.8825401516077677,elman11_b_2020-12-11,hidden_state,-0.5825582647181412,-0.6020960883849216,-0.3539103139395197,-0.7061632859515264
4,B_PC1by75_N300_21-03-20,-0.8825401516077677,grureservoir11_b_2020-12-11,hidden_state,-0.29413098263237347,-0.36015489402588796,0.0483178416128284,-0.5424313781613738
5,B_PC1by75_N300_21-03-20,-0.8825401516077677,grureservoir11_b_2020-12-11,hidden_gates_tplus1,-0.31388649576907796,-0.36807217773836304,0.074832938044637,-0.6642398423912339
6,B_PC1by75_N300_21-03-20,-0.8825401516077677,grureservoir11_b_2020-12-11,hidden_all,-0.31862158860909584,-0.3707419952423634,0.0139127336923548,-0.6399690604311158
7,B_PC1by75_N300_21-03-20,-0.8825401516077677,gru11_b_2020-12-11,hidden_state,-0.7839451659362441,-0.7895921591537336,-0.6652378253992626,-0.848348109880867
8,B_PC1by75_N300_21-03-20,-0.8825401516077677,gru11_b_2020-12-11,hidden_gates_tplus1,-0.8371218162322027,-0.8478713180012849,-0.7401994408763565,-0.8707153781302133
9,B_PC1by75_N300_21-03-20,-0.8825401516077677,gru11_b_2020-12-11,hidden_all,-0.8366413959696896,-0.8415906063304273,-0.750302404187895,-0.8691316009039552
